timestamp,CH4_ppm,N2O_ppm,T_K,P_Pa
2016-06-01 10:00:00,0.0007595892436613671,7.588929117205621e-05,298.15,101300
2016-06-02 10:00:00,0.0007048530119675556,6.927717298964223e-05,298.15,101300
2016-06-03 10:00:00,0.0006682671281564826,6.579770680076092e-05,298.15,101300
2016-06-04 10:00:00,0.000612987032941033,6.0905958811885675e-05,298.15,101300
2016-06-05 10:00:00,0.0005713588534097905,5.7595800240695805e-05,298.15,101300
2016-06-06 10:00:00,0.0005411395775444985,5.343902280930667e-05,298.15,101300
2016-06-07 10:00:00,0.0005068539589125061,5.078161026632928e-05,298.15,101300
2016-06-08 10:00:00,0.0004674334830428134,4.71241678013278e-05,298.15,101300
2016-06-09 10:00:00,0.0004432912174063442,4.3885775873574566e-05,298.15,101300
2016-06-10 10:00:00,0.0004205396894198289,4.179921124844654e-05,298.15,101300
2016-06-11 10:00:00,0.00038650659731862485,3.8470699689268e-05,298.15,101300
2016-06-12 10:00:00,0.0003615833448458447,3.613614039496824e-05,298.15,101300
2016-06-13 10:00:00,0.0003371365581435394,3.4192407855981736e-05,298.15,101300
2016-06-14 10:00:00,0.0003187340861414051,3.1915459077560595e-05,298.15,101300
2016-06-15 10:00:00,0.00029812033525488074,2.9212297500431822e-05,298.15,101300
2016-06-16 10:00:00,0.0002836287722048042,2.7349466763423253e-05,298.15,101300
2016-06-17 10:00:00,0.00025728642289772776,2.62851366661746e-05,298.15,101300
2016-06-18 10:00:00,0.0002417530711059811,2.4319730924156628e-05,298.15,101300
2016-06-19 10:00:00,0.00022616545445178844,2.2698971800474075e-05,298.15,101300
2016-06-20 10:00:00,0.00021702522706521863,2.0832267927091618e-05,298.15,101300
2016-06-21 10:00:00,0.00019995955642460877,1.9876199150226767e-05,298.15,101300
2016-06-22 10:00:00,0.00018715406667530984,1.838963547980282e-05,298.15,101300
2016-06-23 10:00:00,0.00017601227040424763,1.7437036273174073e-05,298.15,101300
2016-06-24 10:00:00,0.00016534533317851495,1.6126958187000675e-05,298.15,101300
2016-06-25 10:00:00,0.00015298815950328713,1.5096152148805252e-05,298.15,101300
2016-06-26 10:00:00,0.00014398118834270968,1.4190642726433952e-05,298.15,101300
2016-06-27 10:00:00,0.00013402410424718535,1.3513993202259195e-05,298.15,101300
2016-06-28 10:00:00,0.00012398270516456877,1.2390927497342841e-05,298.15,101300
2016-06-29 10:00:00,0.00011527767557637934,1.1769193411825198e-05,298.15,101300
2016-06-30 10:00:00,0.00011288357419207202,1.0885774540627471e-05,298.15,101300
2016-07-01 10:00:00,0.0001025088744700181,1.0011162450400674e-05,298.15,101300
2016-07-02 10:00:00,9.46270694476382e-05,9.377455018295717e-06,298.15,101300
2016-07-03 10:00:00,8.84786044517456e-05,8.840199620282316e-06,298.15,101300
2016-07-04 10:00:00,8.359822005917899e-05,8.36621017586573e-06,298.15,101300
2016-07-05 10:00:00,7.641243726192118e-05,7.802487024394889e-06,298.15,101300
2016-07-06 10:00:00,7.247695571702368e-05,7.273280812084887e-06,298.15,101300
2016-07-07 10:00:00,6.851867178477703e-05,6.901523682088259e-06,298.15,101300
2016-07-08 10:00:00,6.440156869178508e-05,6.377192113830427e-06,298.15,101300
2016-07-09 10:00:00,6.055524058330712e-05,5.9830224365678464e-06,298.15,101300
2016-07-10 10:00:00,5.7022146312461926e-05,5.694122139476052e-06,298.15,101300
2016-07-11 10:00:00,5.289278402338168e-05,5.177207711031736e-06,298.15,101300
2016-07-12 10:00:00,4.869136765411383e-05,4.92297623415976e-06,298.15,101300
2016-07-13 10:00:00,4.606714080457462e-05,4.609438744046799e-06,298.15,101300
2016-07-14 10:00:00,4.328395153402282e-05,4.255334640794186e-06,298.15,101300
2016-07-15 10:00:00,4.00496318939942e-05,3.994763273232627e-06,298.15,101300
2016-07-16 10:00:00,3.831179208732031e-05,3.7577289433120098e-06,298.15,101300
2016-07-17 10:00:00,3.5807290906700894e-05,3.51802281095047e-06,298.15,101300
2016-07-18 10:00:00,3.33386421650538e-05,3.2271252355215505e-06,298.15,101300
2016-07-19 10:00:00,3.056066934442393e-05,3.086958411139455e-06,298.15,101300
2016-07-20 10:00:00,2.8588238733182455e-05,2.837985342628061e-06,298.15,101300
